category,content
entertainment, Oasis singer Liam Gallagher has been fined 50
business, The value of the UK's housing stock reached the £3.3 trillion mark in 2004 - triple the value 10 years earlier
entertainment, Actress Julia Roberts will play the part of a spider in a new film version of children's classic Charlotte's Web.  She will voice Charlotte
sport, Greg Rusedski was forced to withdraw from the Open 13 in Marseille on Thursday with a rib injury.  The British number two had been scheduled to play qualifier Sebastien de Chaunac
business, The US agrochemical giant Monsanto has agreed to pay a $1.5m (£799
tech, Search engine firm Google has released a trial tool which is concerning some net users because it directs people to pre-selected commercial websites.  The AutoLink feature comes with Google's latest toolbar and provides links in a webpage to Amazon.com if it finds a book's ISBN number on the site. It also links to Google's map service
tech," Computer giant IBM says 500 of its software patents will be released into the open development community.  The move means developers will be able to use the technologies without paying for a licence from the company. IBM described the step as a ""new era"" in how it dealt with intellectual property and promised further patents would be made freely available. The patents include software for a range of practices"
entertainment," Veteran comedian and broadcaster Cyril Fletcher has died aged 91 at his home in Guernsey.  Fletcher will be remembered for his ""odd odes"" and amusing misprints on TV show That's Life in the 1970s and 80s"
entertainment, Spanish movie The Sea Inside has been named best picture and star Javier Bardem best actor at the Bangkok International Film Festival.  Based on the true story of a paralysed man's battle to end his life
tech, A group of artists in Poland has taken the cacophony of blips
business, Russian oil and gas company Yukos is due in a US court on Thursday as it continues to fight for its survival.  The firm is in the process of being broken up by Russian authorities in order to pay a $27bn (£14bn) tax bill. Yukos filed for bankruptcy in the US
sport, Graeme Souness believes Walter Smith would be the perfect choice to succeed Berti Vogts as Scotland manager.  Souness's former assistant at Rangers is hot favourite to take over from Vogts
business, A union representing 5
sport, American Taylor Dent reached the final of the Australian hardcourt event in Adelaide with a crushing 6-1 6-1 win over Argentine Juan Ignacio Chela.  Dent will meet Swede Joachim Johansson on Sunday after the second seed survived a tense tie-break to defeat Belgium's Olivier Rochus 6-1 7-6 (7/5). Johansson
tech, British TV viewers lead the trend of illegally downloading US shows from the net
business, Albania
politics, Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT. He is expected to stress the importance of continued economic stability
business, The world's biggest confectionery firm
politics, Michael Howard has dismissed fears from some Conservatives that his plans for £4bn tax cuts are too modest.  He defended the package
sport," Iranian striker Vahid Hashemian will not travel to Israel for Bayern Munich's Champions League match against Maccabi Tel Aviv on Wednesday.  The German club said the player had pulled out because of a back injury. Iran refuses to recognise Israel's right to exist and does not allow its citizens to travel to the country. A Bayern spokesman said on Monday that the decision not to take Hashemian to Israel had been motivated only by his physical condition. ""He's got back pain and he couldn't train"
politics, Prince Charles and Camilla Parker Bowles are awaiting the nation's reaction after announcing they are to be married on 8 April.  Mrs Parker Bowles will take the title HRH Duchess of Cornwall after a civil ceremony to be held at Windsor Castle. A Daily Telegraph poll of 1
sport, Italy coach John Kirwan believes his side can upset England as the Six Nations wooden spoon battle hots up.  The two sides
business, British car maker Aston Martin has gone head-to-head with Porsche's 911 sports cars with the launch of its cheapest model yet.  With a price tag under £80
business, Six UK greyhound tracks have been put up for sale by gaming group Wembley as part of a move which will lead to the break-up of the group.  Wembley announced the planned sale as it revealed it was to offload its US gaming division to BLB Investors. US gaming consortium BLB will pay $339m (£182.5m) for the US unit
politics," The Liberal Democrats will present themselves as ""the real alternative"" in the forthcoming general election campaign"
tech, Net browser Opera 8.0
politics, Betty Boothroyd has said the House of Lords needs its own Speaker and that peers should lead the way on reforming the upper chamber.  Baroness Boothroyd
entertainment," Cat Deeley has resigned as host of ITV1's Saturday morning children's music show CD:UK after six years.  The 28-year-old host who also presents Stars In Their Eyes said she wanted to concentrate on new television projects. ""I've had a great few years"
tech, UK video game firms face a testing time as they prepare for the next round of games consoles
entertainment, Late film star Marlon Brando is said to have repeatedly turned down his Oscar-winning role in The Godfather.  The actor's friend Budd Schulberg told Vanity Fair magazine that Brando's assistant suggested he read the novel. The actor repeatedly refused
entertainment," US rock band REM have been forced to cancel concerts after bass player Mike Mills was taken to hospital suffering from ""severe flu-like symptoms"".  The band were forced to cut short Monday night's show in Sheffield"
sport, Chelsea left-back Wayne Bridge could miss the rest of the season with a suspected broken ankle.  The England international
politics," Michael Howard is to make a pitch for Britain's ethnic vote urging people who feel ""taken for granted"" by Tony Blair to vote Conservative.  He will say Conservatives ""share the same values"" as the UK's minorities. And that he wants to build a ""better Britain"" where everyone"
politics, A UK Independence Party MEP suggested Germany saw the EU as an 'empire' and was cheaper than using tanks
tech, Movie studio efforts to stop pirated films being shared on peer-to-peer networks have claimed a high-profile victim.  The campaign of legal action is thought to be behind the closure of the widely used Suprnova.org website. The site was the most popular place for people swapping and sharing links for the BitTorrent network. A recent study showed that more than half of the peer-to-peer traffic during June was for the BitTorrent system.  In a message posted on Suprnova.org on Sunday
entertainment, Elvis Presley has scored his 19th number one single in the UK charts with the re-release of Jailhouse Rock
tech, Internet TV has been talked about since the start of the web as we know it now.  But any early attempts to do it - the UK's Home Choice started in 1992 - were thwarted by the lack of a fast network. Now that broadband networks are bedding down
politics," The Tories are to back controversial government plans to introduce ID cards.  The shadow cabinet revealed its support ahead of next week's Commons vote on a bill to introduce compulsory ID. The decision follows a ""tough meeting"" where some senior Tories argued vociferously against the move"
business, Japanese shares have ended the year at their highest level since 13 July amidst hopes of an economic recovery during 2005.  The Nikkei index of leading shares gained 7.6% during the year to close at 11
business, US aircraft firm Boeing has unveiled its new long-distance 777 plane
politics, Hiding women away in the home hidden behind veils is a backward view of Islam
business, Shell has signed a $6bn (£3.12bn) deal with the Middle Eastern sheikhdom of Qatar to supply liquid natural gas (LNG) to North America and Europe.  The UK-Dutch group will own 30% of the project
tech, First it was the humble home video
politics, Local communities would be asked to go to the polls to elect their own area police commissioner
sport, Holders Manchester United and Premiership leaders Chelsea both face difficult away ties against Premiership opposition in the FA Cup fifth round.  United were drawn against Everton
sport, Juninho's agent has confirmed that the player is hoping for talks with Martin O'Neill as the Brazilian midfielder comes closer to departing Celtic.  Brian Hassell says no official approach has been received from Manchester City but that the English club had been earmarked as a possible destination. But it was being stressed to BBC Sport that Juninho would prefer to remain with the Scottish champions. Juninho wants assurances that he will return to O'Neill's first-team plans. He has become frustrated with his lack of first-team action since his move from Middlesbrough in the summer. Hassel says Juninho
tech," A special adaptor that helps people with hand tremors control a computer mouse more easily has been developed.  The device uses similar ""steady cam"" technology found in camcorders to filter out shaking hand movements. People with hand tremors find it hard to use conventional mice for simple computer tasks because of the erratic movements of the cursor on the screen. About three million Britons have some sort of hand tremor condition"
entertainment, The memory of soul legend Ray Charles dominated the music world's leading music ceremony on Sunday as he was given eight posthumous Grammy Awards.  Charles
entertainment, Sideways
business, Electrolux saw its shares rise 14% on Tuesday after it said it would be shifting more of its manufacturing to low-cost countries.  The Swedish firm
tech, Microsoft is releasing tools that clean up PCs harbouring viruses and spyware.  The virus-fighting program will be updated monthly and is a precursor to Microsoft releasing dedicated anti-virus software. Also being released is a software utility that will help users find and remove any spyware on their home computer. Although initially free it is thought that soon Microsoft will be charging users for the anti-spyware tool.  The anti-spyware tool is available now and the anti-virus utility is expected to be available later this month. Microsoft's Windows operating system has long been a favourite of people who write computer viruses because it is so ubiquitous and has many loopholes that can be exploited. It has proved such a tempting target that there are now thought to be more than 100
tech, Literally putting a face on technology could be one of the keys to improving our interaction with hi-tech gadgets.  Imagine a surveillance system that also presents a virtual embodiment of a person on a screen who can react to your behaviour
sport, Greek athletics' governing body has postponed by two weeks the judgement on sprinters Costas Kenteris and Katerina Thanou for missing doping tests.  The pair are facing lengthy bans for the missed tests
business, Three years after a gruelling economic crisis
politics, Britain's economic future will be at the heart of Labour's poll campaign
entertainment, US band Scissor Sisters led the winners at the UK music industry's Brit Awards
sport," Susan Chepkemei has decided she is fit enough to run in next month's Great Edinburgh International Cross Country.  The Kenyan was initially unsure if she would have recovered from her gruelling tussle with Paula Radcliffe in the New York Marathon in time to compete. But she has declared herself up to the task and joins a field headed by World cross country champion Benita Johnson. Race director Matthew Turnbull said: ""Susan will add even more strength in depth to the world-class line up."" Chepkemei"
sport, Listen to the full interview on Sport on Five and the BBC Sport website from 1900 GMT.  But Parry
politics, Tony Blair lied when he took the UK to war so has no qualms about lying in the election campaign
politics," A senior Tory MP has criticised agriculture department Defra's ""lackadaisical"" approach to planning for a future foot and mouth outbreak.  Public accounts committee chairman Edward Leigh was giving his reaction to a report by a government watchdog on lessons to be learnt from the crisis. The National Audit Office said Defra had improved its capacity to deal with future livestock disease outbreaks. But Mr Leigh said the department was ""dragging its heels"".  That comment referred to the setting up of a scheme to share any future compensation costs with industry. He also said Defra had been ""dreadfully slow"" in paying some of its bills dating from the foot and mouth crisis.  The outbreak"
politics," Labour and the Conservatives are still telephoning the millions of people who have signed up to make sure they do not get marketing ""cold calls"".  The parties say they can stick to the rules by ensuring that their calls are not marketing - for instance by asking about people's voting intentions. The Lib Dems are asking the watchdog overseeing the rules to stop the calls. The information commissioner's office says surveys are allowed but there is a ""grey"" area if personal data is kept. Telephone call centres are expected to be used as never before by all the three major parties in the run-up to the general election.  But seven million telephone numbers are on the Telephone Preference Service (TPS) lists"
business, US interest rates are expected to rise for the fifth time since June following the US Federal Reserve's latest rate-setting meeting later on Tuesday.  Borrowing costs are tipped to rise by a quarter of a percentage point to 2.25%. The move comes as a recovery in the US economy
politics, Engineering firm Balfour Beatty and five railway managers are to go on trial for manslaughter over the Hatfield rail crash in 2000.  Four people died when a section of rail broke and a high speed train derailed. Balfour Beatty's railway maintenance arm was in charge of the upkeep of the line at Hatfield
sport, France coach Bernard Laporte has made four changes to the starting line-up that beat England for Saturday's Six Nations clash with Wales.  He opted for Yannick Nyanga in the back row instead of Grand Slam winner Imanol Harinordoquy
sport, Third seed Tim Henman slumped to a straight sets defeat in his rain-interrupted Dubai Open quarter-final against Ivan Ljubicic.  The Croatian eighth seed booked his place in the last four with a 7-5 6-4 victory over the British number one. Henman had looked on course to level the match after going 2-0 up in the second set
sport, Sonia O'Sullivan has indicated that she would like to participate in next month's World Cross Country Championships in St Etienne.  Athletics Ireland have hinted that the 35-year-old Cobh runner may be included in the official line-up for the event in France on 19-20 March. Provincial teams were selected after last Saturday's Nationals in Santry and will be officially announced this week. O'Sullivan is at present preparing for the London marathon on 17 April. The participation of O'Sullivan
sport, Newcastle boss Graeme Souness is lining up a summer move for England and Real Madrid striker Michael Owen.  He sees Owen as the ideal replacement for Alan Shearer
business, India and Russia are to work together in a series of energy deals
sport," England coach Andy Robinson says English rugby has to act now to prevent injury destroying players' careers.  He will be without a host of big names for the Six Nations as the intensity of professional rugby union hits players. ""Injuries are part of the sport but we have to have a look at the amount of injuries that occur in the English season"
entertainment, The film world and media may be wild about the Oscars but cinema-goers and the TV-viewing public are sick of watching award ceremonies
politics,
sport, Teenager LaShawn Merritt ran the third fastest indoor 400m of all time at the Fayetteville Invitational meeting.  The world junior champion clocked 44.93 seconds to finish well clear of fellow American Bershawn Jackson in Arkansas. Only Michael Johnson has gone quicker
sport," Newcastle boss Graeme Souness has reopened his dispute with Craig Bellamy after claiming the Welshman was ""not good enough"" for the Magpies. Bellamy left Newcastle to join Celtic on loan after a major row with Souness. Souness - who refused to refer to the 25-year-old by name - said Bellamy did not score enough goals ""The chap that's just gone has scored 9.3 goals a season in his time in senior football - half of those weren't even in the top flight"
sport, Bolton boss Sam Allardyce has signed Roma defender Vincent Candela on a five-month deal.  The 31-year-old former France international gave his last press conference as a Roma player on Monday
politics, Britain's £3bn EU rebate is not up for renegotiation at next week's European Council summit
sport," Andy Roddick has ended an 18-month association with coach Brad Gilbert which yielded the US Open title and saw the American become world number one.  Roddick released a statement through the SFX Sports Group with the news but did not give a reason for the split. ""The decision to not re-hire Brad Gilbert for the 2005 season is based on what I think is best for my game at this time"
politics, Labour's choice of a white candidate for one of the UK's most multi-racial seats proves the need for all-black short lists
politics," Concessions on a bill which critics claim would allow euthanasia ""through the back door"" were not a political ploy"
politics," A deal bringing Turkey a step closer to EU membership is of ""fundamental importance"" to the peace and security of the world"
entertainment, The finale of ITV1's I'm a Celebrity... Get Me Out of Here drew an average of 10.9m viewers - about four million fewer than the previous series.  The fourth series of the show peaked on Monday at 11.9m and 49.2% of the audience
business, The UK's trade gap narrowed in November
business, Oil prices carried on rising on Wednesday after cold weather on both sides of the North Atlantic pushed US crude prices to four-month highs.  Freezing temperatures and heavy snowfalls took crude oil prices past $50 a barrel on Tuesday for the first time since November. Declines in the dollar have also contributed to the rising oil price. US crude was trading at $51.39 at 0710 GMT in Asian electronic trade on Wednesday. A barrel of US crude oil closed up $2.80 at $51.15 in New York on Tuesday. Opec members said on Tuesday that
entertainment, The Office's Ricky Gervais is writing an episode of hit US cartoon The Simpsons
entertainment, Singers including Sir Cliff Richard and Boy George are recording a charity single to help raise funds for victims of the Asian tsunami.  They hope the song will raise more than £2m for the relief fund. The song
business, In his twenties he battled tuberculosis for eight years
sport, The Republic of Ireland have arranged friendlies against China and Italy which will take place at Lansdowne Road in March and August.  Brian Kerr's side will face the 54th ranked Chinese on 29 March - just three days after the World Cup qualifier against Israel in Tel Aviv. Italy will visit on 17 August in what will be a warm-up game ahead of the autumn World Cup qualifiers. In their last meeting
tech, Microsoft is investigating a trojan program that attempts to switch off the firm's anti-spyware software.  The spyware tool was only released by Microsoft in the last few weeks and has been downloaded by six million people. Stephen Toulouse
sport," Aston Villa's Thomas Hitzlsperger is waiting to learn the future of manager David O'Leary before committing himself to a new contract with the club.  O'Leary has been in talks over a new deal and he said: ""I had a message from Thomas' agent asking me what the news was on myself. ""He wants to find out before he goes into discussions over Thomas. ""The reason Thomas is not speaking to the club is because the agent wants to see the outcome of what happens to me."" Hitzlsperger's current deal expires in the summer and he has been offered a new deal by the Midlands club. The German international is understood to be keen to remain at Villa"
sport," Former France fly-half Thomas Castaignede has warned the pressure is mounting on coach Bernard Laporte following their defeat by Wales.  France suffered a shock loss against the Welsh at the weekend after looking on course for an easy win. Castaignede told BBC Sport: ""The pressure is big on Laporte after a huge loss to New Zealand"
politics, A national body designed to tackle skills shortages in key subjects should be set up
business, Strong growth in subscriptions to mobile phone network Orange has helped boost profits at owner France Telecom.  Orange added more than five million new customers in 2004
politics, Veteran Labour MP and former Cabinet minister Jack Cunningham has said he will stand down at the next election.  One of the few Blair-era ministers to serve under Jim Callaghan
sport, France have brought flanker Serge Betsen back into their squad to face England at Twickenham on Sunday.  But the player
tech, Like some drill sergeant from the past
business, Turkey has agreed a draft proposal with the International Monetary Fund to borrow $10bn (£5.19bn)
business, Billions of farmers' livelihoods are at risk from falling commodity prices and protectionism
politics," Scotland's first minister has told a group of high school pupils that it is okay to get drunk ""once in a while"".  Jack McConnell was speaking to more than 100 secondary pupils from schools in the Highlands about the problems of binge drinking and drink promotions. He has been criticised by the SNP for encouraging young people to get drunk. But the Scottish Executive has insisted Mr McConnell was speaking about adults and his comments were ""a recognition that people will get drunk"". The first minister's comments came in a question and answer session at Glenurquhart High School in Inverness"
tech," The once-famous Commodore computer brand could be resurrected after being bought by a US-based digital music distributor.  New owner Yeahronimo Media Ventures has not ruled out the possibility of a new breed of Commodore computers. It also plans to develop a ""worldwide entertainment concept"" with the brand"
sport," Hearts manager John Robertson hopes a place in the knock-out stages of the Uefa Cup could help keep some of his out-of-contract players at the club.  ""It could help. If we get through and have another European tie it may encourage players to stay at least until the end of the season"
sport," Kelly Holmes has been forced out of this weekend's European Indoor Athletics Championships after picking up a hamstring injury during training.  The double Olympic champion said: ""I am very disappointed that I have been forced to withdraw. ""I can hardly walk at the moment and I won't be able to do any running for two or three weeks although I'll be keeping fit as best I can."" Holmes will have now have intensive treatment in South Africa.  The 34-year-old made a cautious start to the season but looked back to her best when she stormed to the 1"
politics, Tony Blair has rejected calls for the publication of advice on the legality of the Iraq war amid growing calls for an investigation.  The prime minister told his monthly press conference the matter had been dealt with by the Attorney General. Earlier
business, The World Trade Organisation (WTO) is to hold membership talks with both Iraq and Afghanistan.  But Iran's bid to join the trade body has been refused after the US blocked its application for the 21st time. The countries stand to reap huge benefits from membership of the group
politics, The government has denied reports that Gordon Brown is preparing to oust Alan Milburn as Labour's election supremo.  Work and pensions minister Alan Johnson said it was wrong to suggest the chancellor would usurp Mr Milburn
entertainment," A US TV network is being sued for $2.5m (£1.3m) by a viewer who says he was disgusted by watching contestants eat dead rats in a stunt show.  Austin Aitken is taking action against NBC over its programme Fear Factor. He said watching the show caused his blood pressure to rise so high that he became dizzy and light-headed. The legal assistant said NBC was ""sending the wrong message to viewers that cash can make or have people do just about anything beyond reasoning"". The hand-written"
politics, UK firms are embracing internet trading opportunities as never before
politics, Students can decide the fate of MPs in some seats at the next election
tech, High-speed net connections in the UK are proving more popular than ever.  BT reports that more people signed up for broadband in the last three months than in any other quarter. The 600
politics, First Minister Jack McConnell has ordered a report on the decision to allow a paranoid schizophrenic knife attacker to go on a visit unguarded.  Michael Ferguson
entertainment,
sport, New Southampton manager Harry Redknapp faces an immediate reunion with his old club Portsmouth after they were drawn together in the FA Cup fourth round.  Exeter City face a home tie against Middlesbrough if they can see off holders Manchester United in a replay. Oldham's reward for beating Manchester City is a home tie with Bolton
politics, Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.  He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords
politics," Jack Straw has attacked the decision by Britain's highest court that detaining foreign terrorist suspects without trial breaks human rights laws.  The foreign secretary said the right to life was the ""most important liberty"" and the government had a duty to protect people from terrorism. Law lords were ""simply wrong"" to imply the men were being held arbitrarily. New Home Secretary Charles Clarke vowed the nine men would remain in prison while the law was being reviewed.  The House of Lords ruled by an eight to one majority in favour of appeals by the men - dealing a major blow to the government's anti-terror policy.  But Mr Straw denied it amounted to a ""constitutional crisis"". He said those held had a right of appeal to the special immigration appeal tribunal and the decision to hold the suspects was upheld by that court. ""The law lords are simply wrong to imply that this is a decision to detain these people on the whim or the certificate of the home secretary"
business," The former chief financial officer at US telecoms firm WorldCom has finished giving evidence at the trial of his ex-boss Bernie Ebbers.  Scott Sullivan admitted to jurors he was willing to commit fraud to meet Wall Street earnings projections. Mr Ebbers is on trial for fraud and conspiracy in relation to WorldCom's collapse in 2002. He pleads not guilty. Mr Sullivan has spent two days being cross-examined by lawyers for former Worldcom chief executive Mr Ebbers.  Attorney Reid Weingarten has attempted to portray Mr Sullivan as a liar and on Thursday quizzed him about his decision to commit fraud to meet analysts' profit estimates. ""At that point in time"
entertainment, Ipod owners can now download the Band Aid single from iTunes after Apple reached agreement with the charity.  Apple had been unwilling to raise the cost of the single in line with other download services
tech, 'God games' in which players must control virtual people and societies could be educational
sport," A US judge has set a preliminary trial date for the Balco steroid distribution case which has rocked athletics.  US district court judge Susan Ilston rejected an attempt by the defence team to have the case dismissed at a pre-trial hearing in San Francisco. And she set a March date for the case of the four men accused of distributing illegal performance-enhancing drugs to elite athletes to be heard. A firm decision on whether the trial takes place is expected in January. The judge said that she may conduct hearings in January into whether federal agents illegally searched the Balco headquarters and wrongfully obtained statements from the company's founder Victor Conte and its vice-president James Valente. The two men - along with personal trainer Greg Anderson and athletics coach Remy Korchemny - were all indicted earlier this year but have pleaded their innocence. The outcome of those hearings could result in some or all of the charges being dismissed. Conte said that he would be telling his side of the story on an American TV show on Friday.  ""The world deserves to know the truth about performance-enhancing drugs"
politics, The Commission for Africa's report will be released on 11 March - Comic Relief day
tech, Mobile phones in the UK are celebrating their 20th anniversary this weekend.  Britain's first mobile phone call was made across the Vodafone network on 1 January 1985 by veteran comedian Ernie Wise. In the 20 years since that day
business, US retail giant Federated Department Stores is to buy rival May Department Stores for $11bn (£5.7bn).  The deal will bring together famous stores like Macy's
politics," The head of the ""failing"" Child Support Agency widely reported to have resigned three months ago is still at the helm of the troubled organisation.  Doug Smith's departure was announced by Work Secretary Alan Johnson on 17 November as MPs grilled him over the agency's poor performance. His ""resignation"" was referred to by both Tory and Lib Dem leaders during that day's prime ministers questions. Officials now say he did not resign but will move on under civil service rules.  Mr Smith's departure was reported widely at the time as his shouldering the blame for the failings of the Child Support Agency. In January the MPs who make up the Commons Work and Pensions Committee published a highly critical report into the ""failing"" agency noting the chief executive ""has now left"" and hoping ""the new leadership will bring a fresh approach to what is a failing organisation"".  On that day's Today programme Mr Johnson was asked why Mr Smith had been allowed to resign rather than be sacked. He replied: ""The chief executive decided it was time to move on"
sport, Lewis Moody has flown to Dublin to join England's camp ahead of their RBS Six Nations game against Ireland on Sunday.  Despite joining the squad
tech, The arrival of new titles in the popular Medal Of Honor and Call of Duty franchises leaves fans of wartime battle titles spoilt for choice.  The acclaimed PC title Call of Duty has been updated for console formats
politics," The events leading to David Blunkett's resignation must not ""swept under the carpet"""
entertainment, Ray Charles
business, The number of people out of work in Europe's largest economy has risen for the tenth straight month as growth remains stubbornly slow.  German unemployment rose 7
entertainment, US rap duo OutKast's trio of trophies at the MTV Europe Awards crowns a year of huge success for the band.  The latest triumph adds to the three Grammys and four American MTV gongs won earlier in this year. Andre 3000 and Big Boi's album Speakerboxxx/The Love Below has been critically acclaimed since its release and sold in large quantities around the world. The double album - which saw the pair produce one disc each - topped the charts in the US at the same time as single Hey Ya! It took another track from the exponents of southern hip-hop - The Way You Move - to displace it from the top spot. The Georgia pair's year of critical and commercial triumph leaves them with a tough act to follow - what can be next for a musical act that has done it all?  G Money
business, Thousands of slaves were accepted as collateral for loans by two banks that later became part of JP Morgan Chase.  The admission is part of an apology sent to JP Morgan staff after the bank researched its links to slavery in order to meet legislation in Chicago. Citizens Bank and Canal Bank are the two lenders that were identified. They are now closed
sport," Arsenal manager Arsene Wenger claimed their display in the 3-1 defeat against Bayern Munich was ""our worst peformance in the Champions League"".  Kolo Toure's late goal gives the Gunners hope for the second leg"
politics," Next year will be ""make or break"" for development in poorer countries Gordon Brown will say as he sets out UK goals for its EU and G8 presidencies.  The chancellor is due to outline a series of key targets the government will be judged on in 2005. They will include doubling aid from donor countries and eliminating debt owed by the poorest nations. Mr Brown also wants other G8 nations to match his target for overseas aid - spending 0.7% of national income.  He also wants the richer countries to do more to help the development of vaccines for Aids and malaria. The chancellor is travelling to America next week as part of his persuasion drive over the issue. He told BBC Radio 4's Today programme: ""We need more resources allied to progress on trade and progress on debt relief if we are going to make an impact on the problems of ill health"
sport, Andrew Murray will become Britain's youngest-ever Davis Cup player after it was confirmed he will play in the doubles against Israel on Saturday.  The 17-year-old will play alongside fellow debutant David Sherwood against Israel's Jonathan Erlich and Andy Ram. Murray will eclipse the record set by Roger Becker back in 1952. Greg Rusedski takes Tim Henman's place as first choice in the singles
tech, Interactive posters are helping Londoners get around the city during the festive season.  When interrogated with a mobile phone
politics," Tony Blair is urging European leaders to wake up from their ""state of denial"" over President Bush's re-election.  ""America has spoken. The rest of the world should listen"
politics, The rewards of leaving front-bench politics are shown in the latest annual register of members' interests.  The register shows former Tory leader William Hague earning up to £820
business, The market
politics," French president Jacques Chirac has called the UK's £3bn rebate from the European Union ""unjustified"".  Speaking after a summit meeting he said unless it was put up for discussion the EU would never be able to reach agreement on its medium term finances. Earlier Foreign Secretary Jack Straw said the UK was prepared to veto any bid to reduce the rebate secured by Margaret Thatcher in 1984. He said it remained justified because less EU farm money came to the UK.  Mr Chirac told reporters in Brussels: ""One can only have a reasonable budgetary balance if we put back on the table the British cheque. It can no longer be justified. It was from the past."" But a UK Government official responded: ""Even with the rebate"
sport, Bath have signed their former scrum-half Andy Williams on a short-term deal from the Neath-Swansea Ospreys.  Wales international Williams
business, Nearly two million people across Asia could be thrown into poverty because of the Indian Ocean tsunami
entertainment," Plans to portray Dominica's Carib Indians as cannibals in the sequel to hit film Pirates of the Caribbean have been criticised by the group's chief.  Carib Chief Charles Williams said talks with Disney's producers revealed there was ""a strong element of cannibalism in the script which cannot be removed"". The Caribbean island's government said Disney planned to film in Dominica. The Caribs have long denied their ancestors practised cannibalism. Disney was unavailable for comment. ""Our ancestors stood up against early European conquerors and because they stood up...we were labelled savages and cannibals up to today"
tech, There is no doubt that mobile phones sporting cameras and colour screens are hugely popular. Consumers swapping old phones for slinkier
sport, Scotland manager Walter Smith says he wants to restore the national team's respectability in world football.  Smith has joined his first squad for a three-day get-together near Manchester in preference to playing a friendly. While qualification for the 2006 World Cup appears to be beyond Scotland
entertainment, US band REM have announced plans to perform for 10
sport, Steven Gerrard has admitted that Liverpool have little chance of winning the Champions League this season.  The 24-year-old Reds skipper spoke out ahead of Tuesday's first leg at home to Bayer Leverkusen in the last 16
politics," Lib Dem leader Charles Kennedy has said voters now have a ""fundamental lack of trust"" of Tony Blair as prime minister.  He said backing his party was not a wasted vote"
tech, A blind student has developed software that turns colours into musical notes so that he can read weather maps.  Victor Wong
politics," Deaths in custody have reached ""shocking"" levels"
sport, World number one Lindsay Davenport has criticised Wimbledon over the issue of equal prize money for women.  Reacting to a disputed comment by All England Club chairman Tim Phillips
tech, Sun Microsystems has launched a pay-as-you-go service which will allow customers requiring huge computing power to rent it by the hour.  Sun Grid costs users $1 (53p) for an hour's worth of processing and storage power on systems maintained by Sun. So-called grid computing is the latest buzz phrase in a company which believes that computing capacity is as important a commodity as hardware and software. Sun likened grid computing to the development of electricity.  The system could mature in the same way utilities such as electricity and water have developed
entertainment," Snow Patrol had ""no other course of action"" but to ask their co-founder and bassist to leave the band"
business," Federal Reserve chairman Alan Greenspan has warned that allowing huge US budget deficits to continue could have ""severe"" consequences.  Speaking to the House Budget Committee he urged Congress to take action to cut the deficit"
entertainment, Young UK film fans voted animated Hollywood hit Shrek 2 best film at the children's Bafta awards on Sunday.  More than 6
sport, Newly-crowned Australian Open champion Marat Safin has ruled out any chance of winning Wimbledon in the future.  After losing in round one last year
entertainment, South Korean film director Im Kwon-Taek has received an honorary Golden Bear at the Berlin Film Festival.  Im
entertainment, Friends actress Lisa Kudrow is to play the lead role in a new series about a one-time sitcom star
entertainment, Singer and actor Harry Connick Jr is to star in a Broadway revival of 1950s hit musical The Pajama Game.  He will play the supervisor of a US pyjama factory who has a romance with a union activist during labour unrest. Jeffrey Richards
business, Shares of Skis Rossignol
politics, The days of Britain having to apologise for its colonial past are over
tech, Spin the radio dial in the US and you are likely to find plenty of Spanish-language music. But what you will not find is much Spanish-language hip-hop.  Hip-hop and rap are actually quite popular in the Spanish-speaking world
sport, Everton manager David Moyes will discipline striker James Beattie after all for his headbutt on Chelsea defender William Gallas.  The Scot initially defended Beattie
tech, The Mac Mini was launched amid much fanfare by Apple and great excitement by Apple watchers last month. But does the latest Macintosh justify the hype? Let us get a few things dealt with at the outset - yes
business, An ex-chief financial officer at Boeing has received a four-month jail sentence and a fine of $250
sport," Mark Lewis-Francis has stepped up his preparations for the new season by taking advice from British sprint icon Linford Christie.  The 22-year-old is set to compete at Sheffield this weekend and will then take on Maurice Greene and Kim Collins in Birmingham on 18 February. ""Training in Wales and getting advice from Linford Christie is broadening my mind"
sport," Claudio Ranieri has been sacked as Valencia coach just eight months after taking charge at the Primera Liga club for the second time in his career.  The decision was taken at a board meeting following the side's surprise elimination from the Uefa Cup. ""We understand"
sport," Norwich have signed Charlton midfielder Graham Stuart until the end of the season for an undisclosed fee.  ""It was a very easy decision to make"
politics, Fox hunting with dogs is now illegal in England and Wales after a ban on the activity came into force overnight.  The law faces a stiff test this weekend
tech, Four times more mobiles with cameras in them will be sold in Europe by the end of 2004 than last year
sport, Sprinters Kostas Kenteris and Katerina Thanou have been cleared of doping offences by an independent tribunal.  The duo had been provisionally suspended by the IAAF for allegedly missing three drugs tests
business," BT has moved to pre-empt a possible break-up of its business by offering to cut wholesale broadband prices and open its network to rivals.  The move comes after telecom regulator Ofcom said in November that the firm must offer competitors ""real equality of access to its phone lines"". At the time"
